0,1,2
1.0,41.782818969000004,-87.586428512
2.0,41.78601832800001,-87.586492395
3.0,41.78387198799999,-87.58644767599998
4.0,41.88807600000001,-87.62442500100002
5.0,41.78805799999998,-87.58671500000003
6.0,41.78047224599999,-87.586351164
7.0,41.886904431999994,-87.624680603
8.0,41.891032268000004,-87.62429339800002
9.0,41.88835999999998,-87.62505499999997
10.0,41.88779200099998,-87.62096699900002
11.0,41.884687939,-87.62431754699998
12.0,41.78962000000001,-87.58657499999998
13.0,41.786189353,-87.58694104199998
14.0,41.786359274000006,-87.60625339699999
15.0,41.885104001,-87.624615
16.0,41.888284535000025,-87.62242339199997
17.0,41.875540199,-87.62412630099999
18.0,41.87950873699998,-87.62810529500001
19.0,41.88683707500002,-87.62322658199997
20.0,41.892331936000005,-87.60999416300001
21.0,41.88989400000003,-87.62424400100002
22.0,41.99972301299999,-87.67074754800001
23.0,41.88754403600001,-87.62648694699999
24.0,41.88468799999998,-87.62079599999998
25.0,41.92648804800001,-87.63777471899999
26.0,41.94036376499997,-87.63892797300002
27.0,41.955791980000015,-87.64545955800003
28.0,41.883414000000016,-87.62458800000002
29.0,41.88236699999999,-87.624205001
30.0,41.77876402800001,-87.58633138099998
31.0,41.884547999999995,-87.622143
32.0,41.88066452100003,-87.62418654599998
33.0,41.89934499999998,-87.62424600100002
34.0,41.892011000000025,-87.61212499999999
35.0,41.891002001000004,-87.61785999900002
36.0,41.861134575999984,-87.69566203099998
37.0,41.85918036100003,-87.69555151700001
38.0,41.85563100000002,-87.69563699999998
39.0,41.859218,-87.695764
40.0,41.860990001000005,-87.693176
41.0,41.85728747799999,-87.69552965499997
42.0,41.86473032599997,-87.695742827
43.0,41.86207771900001,-87.693111955
44.0,41.863288650000015,-87.69069448900001
45.0,41.858260594,-87.743422479
46.0,41.866296186,-87.68615653799998
47.0,41.864507661000005,-87.68622556499997
48.0,41.858600000000024,-87.74060200000002
49.0,41.868871797,-87.68597556999998
50.0,41.86280346000001,-87.68608547000002
51.0,41.87555099999997,-87.68643699900002
52.0,41.859817577,-87.68572361399998
53.0,41.867892711000025,-87.62396409600001
54.0,41.868938000000014,-87.68376599999999
55.0,41.87370650999998,-87.68636762599999
56.0,41.87112990100002,-87.68601247999999
57.0,41.85732921699997,-87.68568273699998
58.0,41.85705864099998,-87.68592930400001
59.0,41.854319643999986,-87.68579133700001
60.0,41.86893196699998,-87.68084430800002
61.0,41.87628030299999,-87.686088918
62.0,41.870705516999976,-87.67902965600001
63.0,41.86912413499999,-87.679248368
64.0,41.867028120999976,-87.683441474
65.0,41.87153702799998,-87.67592335900002
66.0,41.830160999999976,-87.680229
67.0,41.86916071500002,-87.67683282399997
68.0,41.831917884000006,-87.67539647199999
69.0,41.86671595299998,-87.68585449300002
70.0,41.87146256400001,-87.673872507
71.0,41.871466999999996,-87.67159299999997
72.0,41.87163591900003,-87.66966398400001
73.0,41.87393522999997,-87.671629548
74.0,41.87405899999999,-87.67133400099999
75.0,41.86929441900003,-87.66883638399997
76.0,41.874042754000016,-87.66900457899999
77.0,41.87410557700002,-87.66679369600001
78.0,41.874141501999986,-87.674547007
79.0,41.87624199999999,-87.67405699900002
80.0,41.877524403999985,-87.66899046999998
81.0,41.869182169,-87.66776922000003
82.0,41.87409000100001,-87.66923100000002
83.0,41.87563471200002,-87.67630379000002
84.0,41.874967379,-87.70608348600001
85.0,41.86932745399997,-87.66677804099999
86.0,41.86924752300001,-87.66425904800002
87.0,41.869396876999986,-87.66149317899999
88.0,41.86947787499997,-87.65700744399999
89.0,41.86952111199997,-87.65411465199998
90.0,41.869553999999994,-87.65148299999998
91.0,41.869484,-87.648754
92.0,41.869507,-87.64736599999998
93.0,41.86965360300002,-87.642397013
94.0,41.86999100000003,-87.63917099999998
95.0,41.871876999999984,-87.639227001
96.0,41.87462747799998,-87.63950479300001
97.0,41.87700000000001,-87.63943799999998
98.0,41.87430668899998,-87.642121411
99.0,41.879249000000016,-87.63515199900002
100.0,41.881976001,-87.64126699899998
101.0,41.879194649,-87.639459891
102.0,41.879358000000025,-87.63940099899997
103.0,41.87682748100002,-87.63938045700002
104.0,41.87451800100001,-87.64104400000002
105.0,41.876778,-87.64231899999999
106.0,41.92697261500001,-87.64121211899999
107.0,41.928631395000025,-87.64214152900001
108.0,41.87444100099998,-87.64774999999997
109.0,41.87447760499998,-87.64986281099999
110.0,41.876874816,-87.63548062500001
111.0,41.88210400000003,-87.63960200000002
112.0,41.87814000100002,-87.64115099999998
113.0,41.87800460599999,-87.638306253
114.0,41.79145101400002,-87.60624969899999
115.0,41.883314000999974,-87.64131300000003
116.0,41.87874100099998,-87.64117099999999
117.0,41.88735600000001,-87.62059499999998
118.0,41.86753563100001,-87.62782764500002
119.0,41.879399999999976,-87.63654200000002
120.0,41.87942600100001,-87.634024001
121.0,41.87784583400003,-87.63987891699998
122.0,41.87952383099997,-87.636996668
123.0,41.886737036,-87.62529549499999
124.0,41.87558799999999,-87.64107999999999
125.0,41.88451318199998,-87.63711205599998
126.0,41.88193682399998,-87.63902414
127.0,41.88433600000002,-87.639706999
128.0,41.88205094099999,-87.62855887400002
129.0,41.870328309,-87.62762647800002
130.0,41.867551615000025,-87.62666395399998
131.0,41.86750233599997,-87.63287697499999
132.0,41.86759322299997,-87.624503258
133.0,41.86645499999997,-87.61360400000001
134.0,41.78939857,-87.60602333499997
135.0,41.79657700000001,-87.6062
136.0,41.88314706800003,-87.63019604200002
137.0,41.877951128999996,-87.64115217699998
138.0,41.869359524000004,-87.62035470500001
